fact_id,bk_order_id,sk_client,sk_employee,sk_date,quantity,unit_price,discount,total_amount,delivery_status
1,30,,10,20060115,100.0,14.0,0.0,1400.0,Livrée
2,30,,10,20060115,30.0,3.5,0.0,105.0,Livrée
3,31,,4,20060120,10.0,30.0,0.0,300.0,Livrée
4,31,,4,20060120,10.0,53.0,0.0,530.0,Livrée
5,31,,4,20060120,10.0,3.5,0.0,35.0,Livrée
6,32,,5,20060122,15.0,18.0,0.0,270.0,Livrée
7,32,,5,20060122,20.0,46.0,0.0,920.0,Livrée
8,33,,7,20060130,30.0,9.2,0.0,276.0,Livrée
9,34,,10,20060206,20.0,9.2,0.0,184.0,Livrée
10,35,,4,20060210,10.0,12.75,0.0,127.5,Livrée
11,36,,5,20060223,200.0,9.65,0.0,1930.0,Livrée
12,37,,9,20060306,17.0,40.0,0.0,680.0,Livrée
13,38,,10,20060310,300.0,46.0,0.0,13800.0,Livrée
14,39,,4,20060322,100.0,12.75,0.0,1275.0,Livrée
15,40,,5,20060324,200.0,2.99,0.0,598.0,Livrée
16,41,,2,20060324,300.0,46.0,0.0,13800.0,Non Livrée
17,42,,2,20060324,10.0,25.0,0.0,250.0,Livrée
18,42,,2,20060324,10.0,22.0,0.0,220.0,Livrée
19,42,,2,20060324,10.0,9.2,0.0,92.0,Livrée
20,43,,2,20060324,20.0,3.5,0.0,70.0,Non Livrée
21,43,,2,20060324,50.0,2.99,0.0,149.5,Non Livrée
22,44,,2,20060324,25.0,18.0,0.0,450.0,Non Livrée
23,44,,2,20060324,25.0,46.0,0.0,1150.0,Non Livrée
24,44,,2,20060324,25.0,2.99,0.0,74.75,Non Livrée
25,45,,2,20060407,50.0,9.65,0.0,482.5,Livrée
26,45,,2,20060407,50.0,18.4,0.0,919.9999999999999,Livrée
27,46,,8,20060405,100.0,19.5,0.0,1950.0,Livrée
28,46,,8,20060405,50.0,34.8,0.0,1739.9999999999998,Livrée
29,47,,7,20060408,300.0,14.0,0.0,4200.0,Livrée
30,48,,5,20060405,25.0,40.0,0.0,1000.0,Livrée
31,48,,5,20060405,25.0,9.2,0.0,229.99999999999997,Livrée
32,50,,10,20060405,20.0,10.0,0.0,200.0,Livrée
33,51,,10,20060405,25.0,21.35,0.0,533.75,Livrée
34,51,,10,20060405,30.0,9.65,0.0,289.5,Livrée
35,51,,10,20060405,30.0,18.4,0.0,552.0,Livrée
36,56,,3,20060403,10.0,12.75,0.0,127.5,Livrée
37,55,,2,20060405,87.0,14.0,0.0,1218.0,Livrée
38,79,,3,20060623,30.0,30.0,0.0,900.0,Livrée
39,79,,3,20060623,30.0,53.0,0.0,1590.0,Livrée
40,78,,2,20060605,40.0,39.0,0.0,1560.0,Livrée
41,77,,10,20060605,90.0,25.0,0.0,2250.0,Livrée
42,76,,10,20060605,30.0,22.0,0.0,660.0,Livrée
43,75,,5,20060605,40.0,12.75,0.0,510.0,Livrée
44,74,,7,20060608,40.0,12.75,0.0,510.0,Livrée
45,73,,8,20060605,10.0,9.65,0.0,96.5,Livrée
46,72,,2,20060607,5.0,46.0,0.0,230.0,Livrée
47,71,,2,20060524,40.0,18.4,0.0,736.0,Non Livrée
48,70,,2,20060524,20.0,40.0,0.0,800.0,Non Livrée
49,69,,2,20060524,15.0,3.5,0.0,52.5,Non Livrée
50,67,,5,20060524,20.0,10.0,0.0,200.0,Livrée
51,60,,7,20060430,40.0,34.8,0.0,1392.0,Livrée
52,63,,5,20060425,50.0,10.0,0.0,500.0,Livrée
53,63,,5,20060425,3.0,40.0,0.0,120.0,Livrée
54,58,,4,20060422,40.0,81.0,0.0,3240.0,Livrée
55,58,,4,20060422,40.0,7.0,0.0,280.0,Livrée
56,80,,3,20060425,10.0,38.0,0.0,380.0,Non Livrée
57,81,,3,20060425,0.0,2.99,0.0,0.0,Non Livrée
58,81,,3,20060425,0.0,38.0,0.0,0.0,Non Livrée
59,10248,86.0,6,19960704,12.0,14.0,0.0,168.0,Livrée
60,10248,86.0,6,19960704,10.0,9.8,0.0,98.0,Livrée
61,10248,86.0,6,19960704,5.0,34.8,0.0,174.0,Livrée
62,10249,80.0,7,19960705,9.0,18.6,0.0,167.4,Livrée
63,10249,80.0,7,19960705,40.0,42.4,0.0,1696.0,Livrée
64,10250,35.0,5,19960708,10.0,7.7,0.0,77.0,Livrée
65,10250,35.0,5,19960708,35.0,42.4,0.1500000059604644,1261.399991154671,Livrée
66,10250,35.0,5,19960708,15.0,16.8,0.1500000059604644,214.19999849796298,Livrée
67,10251,85.0,4,19960708,6.0,16.8,0.050000000745058,95.75999992489817,Livrée
68,10251,85.0,4,19960708,15.0,15.6,0.050000000745058,222.29999982565644,Livrée
69,10251,85.0,4,19960708,20.0,16.8,0.0,336.0,Livrée
70,10252,77.0,5,19960709,40.0,64.8,0.050000000745058,2462.39999806881,Livrée
71,10252,77.0,5,19960709,25.0,2.0,0.050000000745058,47.499999962747104,Livrée
72,10252,77.0,5,19960709,40.0,27.2,0.0,1088.0,Livrée
73,10253,35.0,4,19960710,20.0,10.0,0.0,200.0,Livrée
74,10253,35.0,4,19960710,42.0,14.4,0.0,604.8000000000001,Livrée
75,10253,35.0,4,19960710,40.0,16.0,0.0,640.0,Livrée
76,10254,15.0,6,19960711,15.0,3.6,0.1500000059604644,45.899999678134925,Livrée
77,10254,15.0,6,19960711,21.0,19.2,0.1500000059604644,342.71999759674077,Livrée
78,10254,15.0,6,19960711,21.0,8.0,0.0,168.0,Livrée
79,10255,69.0,10,19960712,20.0,15.2,0.0,304.0,Livrée
80,10255,69.0,10,19960712,35.0,13.9,0.0,486.5,Livrée
81,10255,69.0,10,19960712,25.0,15.2,0.0,380.0,Livrée
82,10255,69.0,10,19960712,30.0,44.0,0.0,1320.0,Livrée
83,10256,89.0,4,19960715,15.0,26.2,0.0,393.0,Livrée
84,10256,89.0,4,19960715,12.0,10.4,0.0,124.80000000000001,Livrée
85,10257,36.0,5,19960716,25.0,35.1,0.0,877.5,Livrée
86,10257,36.0,5,19960716,6.0,14.4,0.0,86.4,Livrée
87,10257,36.0,5,19960716,15.0,10.4,0.0,156.0,Livrée
88,10258,21.0,2,19960717,50.0,15.2,0.2000000029802322,607.9999977350235,Livrée
89,10258,21.0,2,19960717,65.0,17.0,0.2000000029802322,883.9999967068434,Livrée
90,10258,21.0,2,19960717,6.0,25.6,0.2000000029802322,122.87999954223635,Livrée
91,10259,14.0,5,19960718,10.0,8.0,0.0,80.0,Livrée
92,10259,14.0,5,19960718,1.0,20.8,0.0,20.8,Livrée
93,10260,57.0,5,19960719,16.0,7.7,0.25,92.4,Livrée
94,10260,57.0,5,19960719,50.0,15.6,0.0,780.0,Livrée
95,10260,57.0,5,19960719,15.0,39.4,0.25,443.25,Livrée
96,10260,57.0,5,19960719,21.0,12.0,0.25,189.0,Livrée
97,10261,62.0,5,19960719,20.0,8.0,0.0,160.0,Livrée
98,10261,62.0,5,19960719,20.0,14.4,0.0,288.0,Livrée
99,10262,66.0,9,19960722,12.0,17.0,0.2000000029802322,163.19999939203262,Livrée
100,10262,66.0,9,19960722,15.0,24.0,0.0,360.0,Livrée
101,10262,66.0,9,19960722,2.0,30.4,0.0,60.8,Livrée
102,10263,21.0,10,19960723,60.0,13.9,0.25,625.5,Livrée
103,10263,21.0,10,19960723,28.0,3.6,0.0,100.8,Livrée
104,10263,21.0,10,19960723,60.0,20.7,0.25,931.5,Livrée
105,10263,21.0,10,19960723,36.0,8.0,0.25,216.0,Livrée
106,10264,25.0,7,19960724,35.0,15.2,0.0,532.0,Livrée
107,10264,25.0,7,19960724,25.0,7.7,0.1500000059604644,163.62499885261062,Livrée
108,10265,8.0,3,19960725,30.0,31.2,0.0,936.0,Livrée
109,10265,8.0,3,19960725,20.0,12.0,0.0,240.0,Livrée
110,10266,88.0,4,19960726,12.0,30.4,0.050000000745058,346.5599997282028,Livrée
111,10267,26.0,5,19960729,50.0,14.7,0.0,735.0,Livrée
112,10267,26.0,5,19960729,70.0,44.0,0.1500000059604644,2617.99998164177,Livrée
113,10267,26.0,5,19960729,15.0,14.4,0.1500000059604644,183.5999987125397,Livrée
114,10268,34.0,9,19960730,10.0,99.0,0.0,990.0,Livrée
115,10268,34.0,9,19960730,4.0,27.8,0.0,111.2,Livrée
116,10269,90.0,6,19960731,60.0,2.0,0.050000000745058,113.99999991059305,Livrée
117,10269,90.0,6,19960731,20.0,27.8,0.050000000745058,528.1999995857478,Livrée
118,10270,88.0,2,19960801,30.0,15.2,0.0,456.0,Livrée
119,10270,88.0,2,19960801,25.0,36.8,0.0,919.9999999999999,Livrée
120,10271,76.0,7,19960801,24.0,2.0,0.0,48.0,Livrée
121,10272,66.0,7,19960802,6.0,64.8,0.0,388.79999999999995,Livrée
122,10272,66.0,7,19960802,40.0,10.0,0.0,400.0,Livrée
123,10272,66.0,7,19960802,24.0,27.8,0.0,667.2,Livrée
124,10273,64.0,4,19960805,24.0,24.8,0.050000000745058,565.4399995565416,Livrée
125,10273,64.0,4,19960805,15.0,10.0,0.050000000745058,142.49999988824132,Livrée
126,10273,64.0,4,19960805,20.0,2.0,0.0,40.0,Livrée
127,10273,64.0,4,19960805,60.0,14.7,0.050000000745058,837.8999993428589,Livrée
128,10273,64.0,4,19960805,33.0,14.4,0.050000000745058,451.43999964594843,Livrée
129,10274,86.0,7,19960806,20.0,17.2,0.0,344.0,Livrée
130,10274,86.0,7,19960806,7.0,27.8,0.0,194.6,Livrée
131,10275,50.0,2,19960807,12.0,3.6,0.050000000745058,41.0399999678135,Livrée
132,10275,50.0,2,19960807,6.0,44.0,0.050000000745058,250.7999998033047,Livrée
133,10276,81.0,9,19960808,15.0,24.8,0.0,372.0,Livrée
134,10276,81.0,9,19960808,10.0,4.8,0.0,48.0,Livrée
135,10277,53.0,3,19960809,20.0,36.4,0.0,728.0,Livrée
136,10277,53.0,3,19960809,12.0,39.4,0.0,472.79999999999995,Livrée
137,10278,6.0,9,19960812,16.0,15.5,0.0,248.0,Livrée
138,10278,6.0,9,19960812,15.0,44.0,0.0,660.0,Livrée
139,10278,6.0,9,19960812,8.0,35.1,0.0,280.8,Livrée
140,10278,6.0,9,19960812,25.0,12.0,0.0,300.0,Livrée
141,10279,45.0,9,19960813,15.0,31.2,0.25,351.0,Livrée
142,10280,6.0,3,19960814,12.0,3.6,0.0,43.2,Livrée
143,10280,6.0,3,19960814,20.0,19.2,0.0,384.0,Livrée
144,10280,6.0,3,19960814,30.0,6.2,0.0,186.0,Livrée
145,10281,70.0,5,19960814,1.0,7.3,0.0,7.3,Livrée
146,10281,70.0,5,19960814,6.0,3.6,0.0,21.6,Livrée
147,10281,70.0,5,19960814,4.0,14.4,0.0,57.6,Livrée
148,10282,70.0,5,19960815,6.0,20.7,0.0,124.19999999999999,Livrée
149,10282,70.0,5,19960815,2.0,15.6,0.0,31.2,Livrée
150,10283,47.0,4,19960816,20.0,12.4,0.0,248.0,Livrée
151,10283,47.0,4,19960816,18.0,7.3,0.0,131.4,Livrée
152,10283,47.0,4,19960816,35.0,27.2,0.0,952.0,Livrée
153,10283,47.0,4,19960816,3.0,27.8,0.0,83.4,Livrée
154,10284,45.0,5,19960819,15.0,35.1,0.25,394.875,Livrée
155,10284,45.0,5,19960819,21.0,15.5,0.0,325.5,Livrée
156,10284,45.0,5,19960819,20.0,27.2,0.25,408.0,Livrée
157,10284,45.0,5,19960819,5.0,11.2,0.25,42.0,Livrée
158,10285,64.0,2,19960820,45.0,14.4,0.2000000029802322,518.3999980688095,Livrée
159,10285,64.0,2,19960820,40.0,14.7,0.2000000029802322,470.39999824762344,Livrée
160,10285,64.0,2,19960820,36.0,26.2,0.2000000029802322,754.5599971890449,Livrée
161,10286,64.0,9,19960821,100.0,14.4,0.0,1440.0,Livrée
162,10286,64.0,9,19960821,40.0,39.4,0.0,1576.0,Livrée
163,10287,68.0,9,19960822,40.0,13.9,0.1500000059604644,472.5999966859818,Livrée
164,10287,68.0,9,19960822,20.0,11.2,0.0,224.0,Livrée
165,10287,68.0,9,19960822,15.0,9.6,0.1500000059604644,122.39999914169313,Livrée
166,10288,67.0,5,19960823,10.0,5.9,0.1000000014901161,53.09999991208315,Livrée
167,10288,67.0,5,19960823,3.0,10.0,0.1000000014901161,26.999999955296516,Livrée
168,10289,12.0,8,19960826,30.0,8.0,0.0,240.0,Livrée
169,10289,12.0,8,19960826,9.0,26.6,0.0,239.4,Livrée
170,10290,16.0,9,19960827,20.0,17.0,0.0,340.0,Livrée
171,10290,16.0,9,19960827,15.0,99.0,0.0,1485.0,Livrée
172,10290,16.0,9,19960827,15.0,16.0,0.0,240.0,Livrée
173,10290,16.0,9,19960827,10.0,10.4,0.0,104.0,Livrée
