ProductID,ProductName,ProductKey
1,Northwind Traders Chai,1
3,Northwind Traders Syrup,2
4,Northwind Traders Cajun Seasoning,3
5,Northwind Traders Olive Oil,4
6,Northwind Traders Boysenberry Spread,5
7,Northwind Traders Dried Pears,6
8,Northwind Traders Curry Sauce,7
14,Northwind Traders Walnuts,8
17,Northwind Traders Fruit Cocktail,9
19,Northwind Traders Chocolate Biscuits Mix,10
20,Northwind Traders Marmalade,11
21,Northwind Traders Scones,12
34,Northwind Traders Beer,13
40,Northwind Traders Crab Meat,14
41,Northwind Traders Clam Chowder,15
43,Northwind Traders Coffee,16
48,Northwind Traders Chocolate,17
51,Northwind Traders Dried Apples,18
52,Northwind Traders Long Grain Rice,19
56,Northwind Traders Gnocchi,20
57,Northwind Traders Ravioli,21
65,Northwind Traders Hot Pepper Sauce,22
66,Northwind Traders Tomato Sauce,23
72,Northwind Traders Mozzarella,24
74,Northwind Traders Almonds,25
77,Northwind Traders Mustard,26
80,Northwind Traders Dried Plums,27
81,Northwind Traders Green Tea,28
82,Northwind Traders Granola,29
83,Northwind Traders Potato Chips,30
85,Northwind Traders Brownie Mix,31
86,Northwind Traders Cake Mix,32
87,Northwind Traders Tea,33
88,Northwind Traders Pears,34
89,Northwind Traders Peaches,35
90,Northwind Traders Pineapple,36
91,Northwind Traders Cherry Pie Filling,37
92,Northwind Traders Green Beans,38
93,Northwind Traders Corn,39
94,Northwind Traders Peas,40
95,Northwind Traders Tuna Fish,41
96,Northwind Traders Smoked Salmon,42
97,Northwind Traders Hot Cereal,43
98,Northwind Traders Vegetable Soup,44
99,Northwind Traders Chicken Soup,45
